mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.0145408109273598,0.106076061333372,-0.189382489281097,0.0155420306623872,0.247915757910883,1.51,34,trend,BANA,0,0.852028590964629
0.263734683495839,0.441654654700367,-0.361483015238352,0.174724777889274,1.0433961729283,5.25,10,trend2,BANA,0,0.852028590964629
333.688,30.1251557009089,283.475,331,399,1.01,133,totalN[1],BANA,0,0.852028590964629
315.423333333333,24.9424712783477,274,314,367.525,1.04,130,totalN[2],BANA,0,0.852028590964629
391.544666666667,36.9389992374635,332,387,481,1.08,97,totalN[3],BANA,0,0.852028590964629
391.365333333333,30.5867656300896,339,391,456,1.12,120,totalN[4],BANA,0,0.852028590964629
581.838,62.117019450418,487.475,571,718.525,1.43,42,totalN[5],BANA,0,0.852028590964629
475.89,35.6407923226311,422,469,559.525,1.15,89,totalN[6],BANA,0,0.852028590964629
431.407333333333,23.8679394148335,391,429,485.05,1.07,179,totalN[7],BANA,0,0.852028590964629
578.307333333333,44.6212084968651,506,572,678.05,1.22,81,totalN[8],BANA,0,0.852028590964629
438.672,47.637533931688,361.475,432.5,554,1.02,90,totalN[9],BANA,0,0.852028590964629
366.990666666667,515.210304974377,16,368,869.624999999999,1.36,645,totalN[10],BANA,0,0.852028590964629
397.42,20.5456162777405,362.475,396,442.525,1.1,164,totalN[11],BANA,0,0.852028590964629
445.452666666667,32.3241962312582,391.475,442,523.525,1.03,133,totalN[12],BANA,0,0.852028590964629
379.476666666667,19.400318823906,348,376,425,1.06,164,totalN[13],BANA,0,0.852028590964629
334.576,22.5112578166049,300,332,387.525,1.25,91,totalN[14],BANA,0,0.852028590964629
415.127333333333,25.4425890279767,375,412,477,1.01,186,totalN[15],BANA,0,0.852028590964629
0.527350075647563,0.0454027538471544,0.440566104884141,0.528386968770789,0.612275688840199,1.01,136,anndet[1],BANA,0,0.852028590964629
